n_factors,h_qt,q_qt,Predictor_Set,Model,Avg_Brier_Score,Valid_Predictions,Total_Predictions
1,3,0.25,TFDI_pca,Logit,0.06023402621356498,420,420
2,3,0.25,TFDI_pca,Logit,0.04725358784389149,420,420
3,3,0.25,TFDI_pca,Logit,0.04917296151856261,420,420
4,3,0.25,TFDI_pca,Logit,0.05176393650434131,420,420
5,3,0.25,TFDI_pca,Logit,0.053028706706001585,420,420
6,3,0.25,TFDI_pca,Logit,0.04900671372898859,420,420
7,3,0.25,TFDI_pca,Logit,0.05014596741472929,420,420
8,3,0.25,TFDI_pca,Logit,0.04975120215395383,420,420
9,3,0.25,TFDI_pca,Logit,0.05040133328335901,420,420
10,3,0.25,TFDI_pca,Logit,0.05012266983375708,420,420
11,3,0.25,TFDI_pca,Logit,0.049492635831793155,420,420
12,3,0.25,TFDI_pca,Logit,0.05115474418333919,420,420
