n_factors,h_qt,q_qt,Predictor_Set,Model,Avg_Brier_Score,Valid_Predictions,Total_Predictions
1,3,0.25,TFDI_pca,Logit,0.04372864445571421,420,420
2,3,0.25,TFDI_pca,Logit,0.03303867213467366,420,420
3,3,0.25,TFDI_pca,Logit,0.032715033285726544,420,420
4,3,0.25,TFDI_pca,Logit,0.03353734411289941,420,420
5,3,0.25,TFDI_pca,Logit,0.034032374892861914,420,420
6,3,0.25,TFDI_pca,Logit,0.03291758689344,420,420
7,3,0.25,TFDI_pca,Logit,0.03273790110323309,420,420
8,3,0.25,TFDI_pca,Logit,0.030106703786444495,420,420
9,3,0.25,TFDI_pca,Logit,0.03054391920711318,420,420
10,3,0.25,TFDI_pca,Logit,0.03218614563205052,420,420
11,3,0.25,TFDI_pca,Logit,0.03231154090386384,420,420
12,3,0.25,TFDI_pca,Logit,0.03299494089611132,420,420
