Predictor_Set,Model,C_Value,Avg_Brier_Score,Valid_Predictions,Total_Predictions
TFDI_dis,Logit_L1_C0.001,0.001,0.25,420,420
TFDI_dis,Logit_L1_C0.003,0.003,0.25,420,420
TFDI_dis,Logit_L1_C0.008,0.008,0.17517864543969025,420,420
TFDI_dis,Logit_L1_C0.022,0.022,0.107015837830599,420,420
TFDI_dis,Logit_L1_C0.060,0.06,0.07658885438719797,420,420
TFDI_dis,Logit_L1_C0.167,0.167,0.06496551749341095,420,420
TFDI_dis,Logit_L1_C0.464,0.464,0.06813230322529833,420,420
TFDI_dis,Logit_L1_C1.292,1.292,0.07545366212377586,420,420
TFDI_dis,Logit_L1_C3.594,3.594,0.09163919738741493,420,420
TFDI_dis,Logit_L1_C10.000,10.0,0.11228929128737596,420,420
TFDI_dis_with_Full,Logit_L1_C0.001,0.001,0.25,420,420
TFDI_dis_with_Full,Logit_L1_C0.003,0.003,0.25,420,420
TFDI_dis_with_Full,Logit_L1_C0.008,0.008,0.17470219709574064,420,420
TFDI_dis_with_Full,Logit_L1_C0.022,0.022,0.08583880318265615,420,420
TFDI_dis_with_Full,Logit_L1_C0.060,0.06,0.06864995324169669,420,420
TFDI_dis_with_Full,Logit_L1_C0.167,0.167,0.06662315080096903,420,420
TFDI_dis_with_Full,Logit_L1_C0.464,0.464,0.06722464190349141,420,420
TFDI_dis_with_Full,Logit_L1_C1.292,1.292,0.08162737697223955,420,420
TFDI_dis_with_Full,Logit_L1_C3.594,3.594,0.09376039664928741,420,420
TFDI_dis_with_Full,Logit_L1_C10.000,10.0,0.09821380620813529,420,420
Full,Logit_L1_C0.001,0.001,0.25,420,420
Full,Logit_L1_C0.003,0.003,0.25,420,420
Full,Logit_L1_C0.008,0.008,0.1747021917299181,420,420
Full,Logit_L1_C0.022,0.022,0.08584233880637991,420,420
Full,Logit_L1_C0.060,0.06,0.06867010630237996,420,420
Full,Logit_L1_C0.167,0.167,0.0683285372134231,420,420
Full,Logit_L1_C0.464,0.464,0.07756196946905998,420,420
Full,Logit_L1_C1.292,1.292,0.08956483680494694,420,420
Full,Logit_L1_C3.594,3.594,0.10514195430630138,420,420
Full,Logit_L1_C10.000,10.0,0.12868087801080597,420,420
