n_factors,h_qt,q_qt,Predictor_Set,Model,Avg_Brier_Score,Valid_Predictions,Total_Predictions
1,3,0.25,TFDI_pca,Logit,0.06023402623173432,420,420
2,3,0.25,TFDI_pca,Logit,0.04725366836594101,420,420
3,3,0.25,TFDI_pca,Logit,0.049173456043797734,420,420
4,3,0.25,TFDI_pca,Logit,0.05176246087584133,420,420
5,3,0.25,TFDI_pca,Logit,0.05302990169369415,420,420
6,3,0.25,TFDI_pca,Logit,0.04900024142275275,420,420
7,3,0.25,TFDI_pca,Logit,0.050129200705508296,420,420
8,3,0.25,TFDI_pca,Logit,0.049737253347212594,420,420
9,3,0.25,TFDI_pca,Logit,0.050490129365074715,420,420
10,3,0.25,TFDI_pca,Logit,0.05043472881518124,420,420
11,3,0.25,TFDI_pca,Logit,0.04919556400748312,420,420
12,3,0.25,TFDI_pca,Logit,0.05149893878145109,420,420
