n_factors,h_qt,q_qt,Predictor_Set,Model,Avg_Brier_Score,Valid_Predictions,Total_Predictions
1,3,0.25,TFDI_pca,Logit,0.04372864411382588,420,420
2,3,0.25,TFDI_pca,Logit,0.033038615070185864,420,420
3,3,0.25,TFDI_pca,Logit,0.03271491285553692,420,420
4,3,0.25,TFDI_pca,Logit,0.03353590023868416,420,420
5,3,0.25,TFDI_pca,Logit,0.034034546573857016,420,420
6,3,0.25,TFDI_pca,Logit,0.03290754911146737,420,420
7,3,0.25,TFDI_pca,Logit,0.03274030942141272,420,420
8,3,0.25,TFDI_pca,Logit,0.030115731145634497,420,420
9,3,0.25,TFDI_pca,Logit,0.03077265960192938,420,420
10,3,0.25,TFDI_pca,Logit,0.032332760725121173,420,420
11,3,0.25,TFDI_pca,Logit,0.03231354450118248,420,420
12,3,0.25,TFDI_pca,Logit,0.032540899878714204,420,420
