Predictor_Set,Model,C_Value,Avg_Brier_Score,Valid_Predictions,Total_Predictions
Deter_States_v2,Logit_L1_C0.001,0.001,0.25,420,420
Deter_States_v2,Logit_L1_C0.003,0.003,0.25,420,420
Deter_States_v2,Logit_L1_C0.008,0.008,0.17619023822918606,420,420
Deter_States_v2,Logit_L1_C0.022,0.022,0.10773734847895541,420,420
Deter_States_v2,Logit_L1_C0.060,0.06,0.06450565745395313,420,420
Deter_States_v2,Logit_L1_C0.167,0.167,0.045881095045852895,420,420
Deter_States_v2,Logit_L1_C0.464,0.464,0.048440268167855884,420,420
Deter_States_v2,Logit_L1_C1.292,1.292,0.05750021406479517,420,420
Deter_States_v2,Logit_L1_C3.594,3.594,0.06270457515335598,420,420
Deter_States_v2,Logit_L1_C10.000,10.0,0.06845735003145416,420,420
Full,Logit_L1_C0.001,0.001,0.25,420,420
Full,Logit_L1_C0.003,0.003,0.25,420,420
Full,Logit_L1_C0.008,0.008,0.1761697256921512,420,420
Full,Logit_L1_C0.022,0.022,0.08786423605907628,420,420
Full,Logit_L1_C0.060,0.06,0.06748730518799216,420,420
Full,Logit_L1_C0.167,0.167,0.06825645462458015,420,420
Full,Logit_L1_C0.464,0.464,0.07519756922785152,420,420
Full,Logit_L1_C1.292,1.292,0.09198663887798125,420,420
Full,Logit_L1_C3.594,3.594,0.10119680985549837,420,420
Full,Logit_L1_C10.000,10.0,0.11708802460709304,420,420
PCA_Factors_8,Logit_L1_C0.001,0.001,0.25,420,420
PCA_Factors_8,Logit_L1_C0.003,0.003,0.25245147213317637,420,420
PCA_Factors_8,Logit_L1_C0.008,0.008,0.16517350993403274,420,420
PCA_Factors_8,Logit_L1_C0.022,0.022,0.08052697246325134,420,420
PCA_Factors_8,Logit_L1_C0.060,0.06,0.06113229256605936,420,420
PCA_Factors_8,Logit_L1_C0.167,0.167,0.05656296166731304,420,420
PCA_Factors_8,Logit_L1_C0.464,0.464,0.05611906068833118,420,420
PCA_Factors_8,Logit_L1_C1.292,1.292,0.056142780045330014,420,420
PCA_Factors_8,Logit_L1_C3.594,3.594,0.056171948730676456,420,420
PCA_Factors_8,Logit_L1_C10.000,10.0,0.05618619931874569,420,420
